product_id,title,price,tags(semicolon),short_description,generated_at
p-baebf6ae4c,Budget Planner for Small Business Owners | Printable Template | Instant Download,9.99,budget planner;finance tracker;expense tracker;printable template;digital download;planner bundle;minimalist planner;instant download,Budget Planner for Small Business Owners. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-d917b0bd8d,Habit Tracker for Small Business Owners | Printable Template | Instant Download,10.99,habit tracker;daily tracker;routine planner;printable template;digital download;planner bundle;minimalist planner;instant download,Habit Tracker for Small Business Owners. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-b375b27117,Meal Planner for Small Business Owners | Printable Template | Instant Download,10.99,meal planner;grocery list;weekly meals;printable template;digital download;planner bundle;minimalist planner;instant download,Meal Planner for Small Business Owners. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-f5bdb88e91,Study Planner for Small Business Owners | Printable Template | Instant Download,10.99,study planner;student planner;learning tracker;printable template;digital download;planner bundle;minimalist planner;instant download,Study Planner for Small Business Owners. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-a716982e09,Budget Planner for Couples | Printable Template | Instant Download,9.99,budget planner;finance tracker;expense tracker;printable template;digital download;planner bundle;minimalist planner;instant download,Budget Planner for Couples. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-2680b6a509,Budget Planner for Families | Printable Template | Instant Download,9.99,budget planner;finance tracker;expense tracker;printable template;digital download;planner bundle;minimalist planner;instant download,Budget Planner for Families. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-98ed58a082,Budget Planner for Freelancers | Printable Template | Instant Download,9.99,budget planner;finance tracker;expense tracker;printable template;digital download;planner bundle;minimalist planner;instant download,Budget Planner for Freelancers. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-10a0c81b00,Budget Planner for Students | Printable Template | Instant Download,9.99,budget planner;finance tracker;expense tracker;printable template;digital download;planner bundle;minimalist planner;instant download,Budget Planner for Students. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-ac99fc33f0,Habit Tracker for Couples | Printable Template | Instant Download,10.99,habit tracker;daily tracker;routine planner;printable template;digital download;planner bundle;minimalist planner;instant download,Habit Tracker for Couples. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-666930e59e,Habit Tracker for Families | Printable Template | Instant Download,10.99,habit tracker;daily tracker;routine planner;printable template;digital download;planner bundle;minimalist planner;instant download,Habit Tracker for Families. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-144ca9cacc,Habit Tracker for Freelancers | Printable Template | Instant Download,10.99,habit tracker;daily tracker;routine planner;printable template;digital download;planner bundle;minimalist planner;instant download,Habit Tracker for Freelancers. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-b021c15666,Habit Tracker for Students | Printable Template | Instant Download,10.99,habit tracker;daily tracker;routine planner;printable template;digital download;planner bundle;minimalist planner;instant download,Habit Tracker for Students. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-10d0a2c3f0,Meal Planner for Couples | Printable Template | Instant Download,10.99,meal planner;grocery list;weekly meals;printable template;digital download;planner bundle;minimalist planner;instant download,Meal Planner for Couples. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-88bbef3206,Meal Planner for Families | Printable Template | Instant Download,10.99,meal planner;grocery list;weekly meals;printable template;digital download;planner bundle;minimalist planner;instant download,Meal Planner for Families. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-a34abdfcab,Meal Planner for Freelancers | Printable Template | Instant Download,10.99,meal planner;grocery list;weekly meals;printable template;digital download;planner bundle;minimalist planner;instant download,Meal Planner for Freelancers. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-b75e411eec,Meal Planner for Students | Printable Template | Instant Download,10.99,meal planner;grocery list;weekly meals;printable template;digital download;planner bundle;minimalist planner;instant download,Meal Planner for Students. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-b8608f7e49,Study Planner for Couples | Printable Template | Instant Download,10.99,study planner;student planner;learning tracker;printable template;digital download;planner bundle;minimalist planner;instant download,Study Planner for Couples. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-b09e948b38,Study Planner for Families | Printable Template | Instant Download,10.99,study planner;student planner;learning tracker;printable template;digital download;planner bundle;minimalist planner;instant download,Study Planner for Families. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-0365054518,Study Planner for Freelancers | Printable Template | Instant Download,10.99,study planner;student planner;learning tracker;printable template;digital download;planner bundle;minimalist planner;instant download,Study Planner for Freelancers. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
p-cfa9fd31f4,Study Planner for Students | Printable Template | Instant Download,10.99,study planner;student planner;learning tracker;printable template;digital download;planner bundle;minimalist planner;instant download,Study Planner for Students. Includes CSV template + print-friendly HTML + ZIP bundle. Instant digital download.,2026-01-14 02:21:12 UTC
