product_id,name,price,description,generated_at
p-baebf6ae4c,Budget Planner for Small Business Owners,9.99,Budget Planner for Small Business Owners\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $9.99\n,2026-01-13 23:21:42 UTC
p-d917b0bd8d,Habit Tracker for Small Business Owners,10.99,Habit Tracker for Small Business Owners\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $10.99\n,2026-01-13 23:21:42 UTC
p-b375b27117,Meal Planner for Small Business Owners,10.99,Meal Planner for Small Business Owners\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $10.99\n,2026-01-13 23:21:42 UTC
p-f5bdb88e91,Study Planner for Small Business Owners,10.99,Study Planner for Small Business Owners\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $10.99\n,2026-01-13 23:21:42 UTC
p-a716982e09,Budget Planner for Couples,9.99,Budget Planner for Couples\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $9.99\n,2026-01-13 23:21:42 UTC
p-2680b6a509,Budget Planner for Families,9.99,Budget Planner for Families\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $9.99\n,2026-01-13 23:21:42 UTC
p-98ed58a082,Budget Planner for Freelancers,9.99,Budget Planner for Freelancers\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $9.99\n,2026-01-13 23:21:42 UTC
p-10a0c81b00,Budget Planner for Students,9.99,Budget Planner for Students\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $9.99\n,2026-01-13 23:21:42 UTC
p-ac99fc33f0,Habit Tracker for Couples,10.99,Habit Tracker for Couples\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $10.99\n,2026-01-13 23:21:42 UTC
p-666930e59e,Habit Tracker for Families,10.99,Habit Tracker for Families\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $10.99\n,2026-01-13 23:21:42 UTC
p-144ca9cacc,Habit Tracker for Freelancers,10.99,Habit Tracker for Freelancers\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $10.99\n,2026-01-13 23:21:42 UTC
p-b021c15666,Habit Tracker for Students,10.99,Habit Tracker for Students\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $10.99\n,2026-01-13 23:21:42 UTC
p-10d0a2c3f0,Meal Planner for Couples,10.99,Meal Planner for Couples\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $10.99\n,2026-01-13 23:21:42 UTC
p-88bbef3206,Meal Planner for Families,10.99,Meal Planner for Families\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $10.99\n,2026-01-13 23:21:42 UTC
p-a34abdfcab,Meal Planner for Freelancers,10.99,Meal Planner for Freelancers\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $10.99\n,2026-01-13 23:21:42 UTC
p-b75e411eec,Meal Planner for Students,10.99,Meal Planner for Students\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $10.99\n,2026-01-13 23:21:42 UTC
p-b8608f7e49,Study Planner for Couples,10.99,Study Planner for Couples\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $10.99\n,2026-01-13 23:21:42 UTC
p-b09e948b38,Study Planner for Families,10.99,Study Planner for Families\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $10.99\n,2026-01-13 23:21:42 UTC
p-0365054518,Study Planner for Freelancers,10.99,Study Planner for Freelancers\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $10.99\n,2026-01-13 23:21:42 UTC
p-cfa9fd31f4,Study Planner for Students,10.99,Study Planner for Students\n\nWHAT YOU GET\n- bundle.zip (recommended)\n- template.csv (editable)\n- printable.html (print or Save as PDF)\n- instructions.txt\n\nHOW TO USE\n1) Download bundle.zip\n2) Open template.csv in Excel / Google Sheets\n3) Print printable.html if needed\n\nNOTES\n- Digital product. No physical item shipped.\n- Price suggestion: $10.99\n,2026-01-13 23:21:42 UTC
